000000886116	Aruba 3800-48G-PoE+-4XG - Switch - L3 - Beheerd - 48 x 10/100/1000 (PoE) + 4 x 10Gb Ethernet - rack-uitvoering - PoE	Switches	Hp enterprise	https://product.onetrail.net/3party/Cnet/large/23F7945F-175C-4D01-94B6-29CF7FD35519.jpg
0000020034528	Hitachi - Projectorlamp - voor CP-SX5500, SX5500W, SX5600W		Hitachi	https://product.onetrail.net/3party/Cnet/small/8237F59D-A316-446F-9BEB-CFE6FB65E096.jpg
0000096077559	BATTERY HEARING AID	Overige supplies	Duracell	
0000096077580	Duracell EasyTab DA675 Hearing Aid - Batterij 6 x PR44 Zinklucht 610 mAh	Overige supplies	Duracell	
0000101015408	Projecta Elpro Concept RF Wide Format - Projectiescherm - gemotoriseerd - 230 V - 125 inch ( 318 cm ) - 16:10 - Mat wit - RAL 9016, verkeerwit	Projectie Schermen	Projecta	https://product.onetrail.net/3party/Cnet/small/5AAFA57F-1F77-435D-BED8-2464298041BD.jpg
